Text,Classificacao
���⛪ @ Catedral Santo Antônio Governador ValadaresMG,Negativo
� @ Governador Valadares Minas Gerais,Negativo
�� @ Governador Valadares Minas Gerais,Positivo
���,Negativo
��� PSOL vai questionar aumento vereadores prefeito BH Justiça Politica Estado Minas,Negativo
bom bandido morto Deputado Cabo Júlio condenado fica inelegível 10 anos Politica Estado Minas,Negativo
25 mineiros dizem torcer time nenhummesmo dentro estado AtléticoMG Cruzeiro Pq,Negativo
gigantesca barba mal destaque caderno Cultura Estado Minas,Negativo
BB governo Minas travam disputa sobre depósitos judiciais,Negativo
vcs bh fica pequena Belo Horizonte (pron [bɛloɾiˈzõntʃi][10]) capital estado MG área aproximadamente 331 km²,Positivo
Daí gente visita governador valadares lugar eh mãe MG gente uns parente la MANO onde q parente,Negativo
bonita bonita #latergram #ibituruna #home @ Governador Valadares Minas Gerais,Negativo
erro desconhecido mato Aliás secretaria estadual fazenda tá assim MG precisa dinheiro Governador,Negativo
La La Land Cantando Estações arrasa Globo Ouro Estado Minas,Positivo
La La Land Cantando Estações arrasa Globo Ouro Estado Minas,Negativo
Los abusos aun en el estado más sólido son minas sordas tarde temprano estallan Joseph SanialDubay,Positivo
dinheiro caixa governo Minas Gerais compra 2 (DOIS) helicópteros Dois Helicópteros Minas Gerais #2017 s1,Negativo
Modelo segurança legado diz Cláudio Beato Politica Estado Minas,Negativo
Modelo segurança legado diz Cláudio Beato Politica Estado Minas,Positivo
Modelo segurança legado diz Cláudio Beato Politica Estado Minas,Negativo
governo Minas Gerais comentou assunto,Negativo
governo federal publicou dia 27 dezembro 2016 Medida Provisória 76416 permite diferenciação,Negativo
Polícia Federal acaba divulgar encontrou provas apartamento Lula 4ª série Jornal Estado Minas,Positivo
Praia Estação lota neste sábado verão BH Gerais Estado Minas,Negativo
Representando ferramenta monitoramento educação rede estadual Minas Secretaria Estado,Positivo
uso aeronave pertencente Estado MG domingo p fins pessoais claro desvio finalidade,Negativo
vou postar umas curiosidades sobre corpo humano Japão menor estado minas gerais ¿¿¿¿,Positivo
